SMILES,Binary_Activity,QED
C=C[C@]1(C)C=C2[C@@H](O)[C@@H]3OC(=O)[C@@]4(C)CC[C@H]5C[C@]5([C@@H]34)[C@@]2(O)C(=O)C1,0,0.5566884393279032
C=C[C@@]1(C)C=C2C(=O)C(O)=C3[C@](C)(C(=O)O)CC[C@@H]4C[C@]34[C@]2(O)C(=O)C1,0,0.6518439245619644
Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,1,0.33702675333273463
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,1,0.5482499950490909
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,0.4058424794083466
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1,0.3732159623688665
Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O,1,0.7562065095068584
FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1,1,0.694884504370339
CN(C)c1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1,1,0.7349267856670482
COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(OC(F)(F)F)c1,1,0.6312527697225437
COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(N(C)C)c1,1,0.6780846941935029
FC(F)(F)Oc1cccc(-n2nnc3cc(Cl)c(NCC4CCNCC4)nc32)c1,1,0.6463019348453842
CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,1,0.6942142541771245
O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1,1,0.7998988095547487
FC(F)(F)c1ccc(-c2nnc3ccc(NC4CCCCC4)nn23)cc1,1,0.743297546833169
Nc1cncc(-c2ccc3noc(-c4ccc(C(F)(F)F)cc4)c3c2)n1,1,0.5699041890883662
N#Cc1c(-c2ccccc2)cc(-c2ccccc2O)[nH]c1=O,1,0.7592931545443422
CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,1,0.8634138767670326
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1oc1ccc(Br)cc12,1,0.7269964889796721
O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12,1,0.7269964889796721
N[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7268851924318804
N[C@@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7268851924318804
O=c1[nH]c(CN2CCCC2)nc2c1oc1ccc(Br)cc12,1,0.7733750896486244
CO[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7589393514323933
O=C(O)C1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7100650599099669
O=c1[nH]c(C2CNC2)nc2c1oc1ccc(Br)cc12,1,0.720416306153868
O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Br)cc12,1,0.7178858368403618
O=c1[nH]c([C@H]2CCCN2)nc2c1oc1ccc(Br)cc12,1,0.7178858368403618
O=c1[nH]c(C2CCCNC2)nc2c1oc1ccc(Br)cc12,1,0.7094741752842709
O=c1[nH]c(C2CCNCC2)nc2c1oc1ccc(Br)cc12,1,0.7094741752842709
CC(N)c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,1,0.7228975688026884
CN1CCC[C@H]1c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,1,0.7336808832416
O=c1[nH]c([C@@H]2C[C@@H](O)CN2)nc2c1oc1ccc(Br)cc12,1,0.6229166454979054
O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Br)cc12,1,0.7066524976454989
O=c1[nH]c([C@@H]2C[C@H](F)CN2)nc2c1oc1ccc(Br)cc12,1,0.7066524976454989
O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12,1,0.7224683040728447
COc1ccc2oc3c(=O)[nH]c([C@@H]4CCCN4)nc3c2c1,1,0.7534141631513788
O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Cl)cc12,1,0.724913129867648
COc1ccc2oc3c(=O)[nH]c([C@@H]4C[C@@H](F)CN4)nc3c2c1,1,0.7571384808728506
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1oc1ccc(Br)cc12,1,0.7269964889796721
O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12,1,0.7269964889796721
N[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7268851924318804
N[C@@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7268851924318804
O=c1[nH]c(CN2CCCC2)nc2c1oc1ccc(Br)cc12,1,0.7733750896486244
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccccc12,0,0.5775711525141586
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Cl)cc12,1,0.5525294534858655
Cc1cc(-c2cc(-c3ccccc3Cl)[nH]c(=O)n2)ccc1O,1,0.7566601300690748
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Br)cc12,1,0.5220091248823002
Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,1,0.5700351037554506
COc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,1,0.6042895475324203
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(-c3ccccc3)cc12,0,0.43484164063423386
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(C(F)(F)F)cc12,1,0.5162971790769592
Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,0,0.5261865031770817
CC(=O)Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,0,0.5708322629002666
COc1ccc2c(c1)oc1c(=O)[nH]c(-c3ccccc3Cl)nc12,0,0.6042895475324203
O=c1[nH]c(-c2ccc(F)cc2Cl)nc2c1oc1ccc(Br)cc12,1,0.5006965629036035
O=c1[nH]c(-c2cc(F)ccc2Cl)nc2c1oc1ccc(Br)cc12,1,0.5006965629036035
O=c1[nH]c(-c2c(F)cccc2Cl)nc2c1oc1ccc(Br)cc12,1,0.5006965629036035
O=c1[nH]c(-c2cccc(Cl)c2Cl)nc2c1oc1ccc(Br)cc12,1,0.45706407471012356
O=c1[nH]c(-c2ccc(Cl)cc2Cl)nc2c1oc1ccc(Br)cc12,1,0.45706407471012356
COc1cccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c1Cl,1,0.521895100446408
NCc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1,1,0.5239169860573504
O=C(NCCN1CCCCC1)c1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1,1,0.3809603822120997
O=c1[nH]c(-c2ccc(CNC3CCNCC3)cc2Cl)nc2c1oc1ccc(Br)cc12,1,0.3920024465657967
O=C(CCN1CCCCC1)Nc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1,1,0.35280661658461626
O=c1[nH]c(-c2ccc(NCC3CCNCC3)cc2)nc2c1oc1ccc(Br)cc12,1,0.4237157675402472
O=c1[nH]c(CN2CCCCC2)nc2c1oc1ccc(Br)cc12,1,0.7589691829325654
O=c1[nH]c(CN2CCC2)nc2c1oc1ccc(Br)cc12,1,0.7826242806926735
CN1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)CC1,1,0.7418313899057534
CC(c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1)N1CCN(C)CC1,1,0.7279862991914834
CN1C[C@@H]2C[C@H]1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,1,0.7290198873673868
CN1C[C@@H]2CC[C@H]1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,1,0.7130812918544335
CN1CCCC(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1,0.7455632829023772
O=c1[nH]c(CN2CC(O)C2)nc2c1oc1ccc(Br)cc12,1,0.7338882488103243
CN1CCN(Cc2nc3c(oc4ccc(Cl)cc43)c(=O)[nH]2)CC1,1,0.7779587978124425
CN1CCN(Cc2nc3c(oc4ccc(I)cc43)c(=O)[nH]2)CC1,1,0.6383359329043928
