"SMILES","Binary_Activity"
"CN1CCCC(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(CN2CC(O)C2)nc2c1oc1ccc(Br)cc12",1
"CN1CCN(Cc2nc3c(oc4ccc(Cl)cc43)c(=O)[nH]2)CC1",1
"CN1CCN(Cc2nc3c(oc4ccc(C5CC5)cc43)c(=O)[nH]2)CC1",1
"CC(=O)c1ccc2oc3c(=O)[nH]c(CN4CCN(C)CC4)nc3c2c1",1
"O=C1C(=Cc2c[nH]c3ccccc23)Oc2c1ccc(O)c2CN1CCCCCC1",1
"O=C1C(=Cc2c[nH]c3ccccc23)Oc2c1ccc(O)c2CN1CCCNCC1",1
"O=C1C(=Cc2c[nH]c3ccccc23)Oc2c1ccc(O)c2CN1CCNCC1",1
"CN1CCN(Cc2c(O)ccc3c2OC(=Cc2c[nH]c4ccccc24)C3=O)CC1",1
"O=C1C(=Cc2c[nH]c3ccccc23)Oc2c(CN3CCNCC3)cccc21",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3ccccc13)C2=O",1
"CCOc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3ccccc13)C2=O",1
"CCCOc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3ccccc13)C2=O",1
"O=C1C(=Cc2c[nH]c3ccccc23)Oc2c1ccc(OCc1ccccc1)c2CN1CCNCC1",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3ncccc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3cnccc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3ccncc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3cccnc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)OC(=Cc1n[nH]c3ccccc13)C2=O",1
"Nc1nc2c(-c3ccco3)nccc2[nH]1",1
"Nc1nc2c(-c3cccs3)nccc2[nH]1",1
"Nc1nc2c(-c3ccoc3)nccc2[nH]1",1
"Nc1nc2c(-c3ccsc3)nccc2[nH]1",1
"Nc1nc2c(-c3ccccn3)nccc2[nH]1",1
"Nc1nc2c(-c3cccnc3)nccc2[nH]1",1
"Nc1nc2c(-c3ccccc3)nccc2[nH]1",0
"Nc1nc2c(-c3ccc[nH]3)nccc2[nH]1",1
"CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O",1
"O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21",1
"O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12",1
